Date,close,high,low,open,volume
1993-01-29,24.175382614135742,24.192577054117347,24.072215974246117,24.192577054117347,1003200
1993-02-01,24.347335815429688,24.347335815429688,24.192585799653653,24.192585799653653,480500
1993-02-02,24.398923873901367,24.416118323424907,24.2785627272366,24.330146075807214,201300
1993-02-03,24.65682601928711,24.674020458631105,24.416103868471197,24.433298307815193,529400
1993-02-04,24.760000228881836,24.811583562692007,24.467694670624205,24.742805784278445,531500
1993-02-05,24.742807388305664,24.79439072545988,24.605251822561087,24.742807388305664,492100
1993-02-08,24.742807388305664,24.828779616896025,24.70841849686952,24.742807388305664,596100
1993-02-09,24.57084846496582,24.65682064293981,24.51926515818143,24.65682064293981,122100
1993-02-10,24.605239868164062,24.62243430552826,24.502073243978888,24.570850993435673,379600
1993-02-11,24.725605010986328,24.82877165220046,24.639632809974554,24.639632809974554,19500
1993-02-12,24.536466598510742,24.691216563042346,24.536466598510746,24.691216563042346,42500
1993-02-16,23.91746711730957,24.46768922209311,23.8830782357606,24.46768922209311,374800
1993-02-17,23.900272369384766,23.951855691045306,23.814300166617194,23.91746680993828,210900
1993-02-18,23.883081436157227,24.175386968493203,23.556387017664072,24.175386968493203,378100
1993-02-19,23.96904182434082,23.96904182434082,23.84868078218129,23.883069651369727,34900
1993-02-22,24.055021286010742,24.089410165619046,23.969049086989973,24.03782684620659,513600
1993-02-23,24.037830352783203,24.14099700665781,23.91746925659616,24.123802564345375,373700
1993-02-24,24.347335815429688,24.347335815429688,24.05503023007495,24.05503023007495,26300
1993-02-25,24.398923873901367,24.416118323424907,24.2785627272366,24.330146075807214,44500
1993-02-26,24.433298110961914,24.450492550167375,24.312937036523675,24.450492550167375,66200
1993-03-01,24.364519119262695,24.5192690642686,24.33013024259472,24.5192690642686,66500
1993-03-02,24.725605010986328,24.725605010986328,24.347327326534522,24.38171620693923,182400
1993-03-03,24.82876205444336,24.845956487999068,24.725595453109104,24.75998432022052,280100
1993-03-04,24.69120979309082,24.863154150981426,24.69120979309082,24.863154150981426,89500
1993-03-05,24.622447967529297,24.828781330385688,24.6052535206246,24.725614648957492,40000
1993-03-08,25.172643661499023,25.172643661499023,24.67400522831359,24.67400522831359,50800
1993-03-09,25.08669662475586,25.138279962572355,25.035113286939364,25.121085516633524,169300
1993-03-10,25.138275146484375,25.13827514648437,24.983525162682486,25.08669181855041,194400
1993-03-11,25.069477081298828,25.224226939825364,25.035088223848486,25.15544922492468,70900
1993-03-12,24.81155776977539,24.880335476690917,24.656807929215464,24.863141049962035,643600
1993-03-15,24.93193817138672,24.93193817138672,24.79438265044114,24.79438265044114,310800
1993-03-16,24.93193817138672,25.00071593185951,24.93193817138672,24.93193817138672,30800
1993-03-17,24.777185440063477,24.897546507433667,24.74279656367199,24.897546507433667,21800
1993-03-18,24.93193817138672,25.035104812095906,24.880354851032127,24.880354851032127,59300
1993-03-19,24.89420509338379,25.03241025698342,24.89420509338379,25.03241025698342,66900
